NPI,Prescriber,Specialty,City,Total Claims,Total Cost,Cost Per Claim,Specialty p95,Outlier Status,Outlier Cost,Priority Group,Priority Rank,Prescribers In Specialty
1003000480,Rothchild,General Surgery,Aurora,13,652.8,50.22,75.42,Within specialty norm,0.0,Other qualifying specialty,30,284
1003001256,Caragol,Family Practice,Evans,334,22293.25,66.75,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003004771,Riggle,Critical Care (Intensivists),Littleton,723,435972.96,603.01,6864.98,Within specialty norm,0.0,Other qualifying specialty,9,75
1003011404,Mccoppin,Dermatology,Loveland,377,6156.91,16.33,777.79,Within specialty norm,0.0,Other qualifying specialty,15,278
1003014853,Kray,Physician Assistant,Loveland,36,12249.37,340.26,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003014911,Berger,Pulmonary Disease,Greeley,516,525564.81,1018.54,5397.8,Within specialty norm,0.0,Top 8 priority segment,7,154
1003016148,Micheli,Dentist,Grand Junction,388,2119.86,5.46,7.93,Within specialty norm,0.0,Other qualifying specialty,42,1986
1003019043,Goeke,Family Practice,Lakewood,126,8752.66,69.47,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003019563,Frank,Internal Medicine,Montrose,1069,230365.96,215.5,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003053554,Humer,Physician Assistant,Lone Tree,680,2529007.91,3719.13,537.98,Above own specialty 95th pct,2529007.91,Top 8 priority segment,2,3010
1003054859,Rye,Nurse Practitioner,Basalt,4557,757025.21,166.12,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003063140,Jones,Internal Medicine,Denver,2510,246797.78,98.33,536.64,Within specialty norm,0.0,Top 8 priority segment,3,1292
1003067448,Reed,Nurse Practitioner,Longmont,201,22864.22,113.75,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003067547,Ly,Family Practice,Denver,23,175.16,7.62,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003068628,Smith,Physician Assistant,Evergreen,1050,45339.72,43.18,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003069774,Petkoff,Nurse Practitioner,Parker,19,45.62,2.4,549.4,Within specialty norm,0.0,Top 8 priority segment,1,3509
1003070400,Mcvay,Hospitalist,Denver,698,15859.47,22.72,330.61,Within specialty norm,0.0,Other qualifying specialty,31,258
1003071804,Evans,Family Practice,Fort Collins,12,332.1,27.68,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
1003075821,Hillary,Physician Assistant,Greenwood Village,48,453.28,9.44,537.98,Within specialty norm,0.0,Top 8 priority segment,2,3010
1003079583,Ratigan,Nephrology,Wheat Ridge,1722,194054.99,112.69,421.35,Within specialty norm,0.0,Other qualifying specialty,23,117
1003088840,Connery,Family Practice,Aspen,1866,53581.38,28.71,152.67,Within specialty norm,0.0,Top 8 priority segment,4,2288
