year;facility_number;facility_name;begin_date;end_date;county_name;type_of_control;hours_type;productive_hours;productive_hours_per_adjusted_patient_day
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Management & Supervision;63558;1.17
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Technician & Specialist;163706;3.02
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Registered Nurse;180034;3.32
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Licensed Vocational Nurse;22323;0.41
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Aides & Orderlies;97205;1.79
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Clerical & Other Administrative;134039;2.47
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Environmental & Food Services;80229;1.48
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Other;0;0
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Contracted Registry Nursing;31481;0.58
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Contracted Other;8390;0.15
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Daily Cost Centers;260972;4.82
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Ambulatory Cost Centers;46532;0.86
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Ancillary Cost Centers;196650;3.63
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Education Cost Centers;0;0
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;General Services Cost Centers;145124;2.68
2009;106010735;ALAMEDA HOSPITAL;07/01/2008;06/30/2009;Alameda;District;Fiscal Services Cost Centers;53108;0.98
