year,facility_number,facility_name,begin_date,end_date,county_name,region,type_of_control,hours_type,productive_hours,productive_hours_per_adjusted_patient_day,phapd_missing
2009,106010735,ALAMEDA HOSPITAL,7/1/2008,6/30/2009,Alameda,Bay Area,District,Administrative Services Cost Centers,78579,1.45,N
2009,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,347007,2.05,N
2009,106010776,CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,205979,2.18,N
2009,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,4228,0.43,N
2009,106010805,EDEN MEDICAL CENTER,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,233934,2.68,N
2009,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2008,6/30/2009,Alameda,Bay Area,City/County,Administrative Services Cost Centers,446380,2.59,N
2009,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,1207209,13.90,N
2009,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,1203374,18.97,N
2009,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,1/1/2009,12/31/2009,Alameda,Bay Area,Investor,Administrative Services Cost Centers,57698,2.94,N
2009,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,250933,2.36,N
2009,106010967,ST. ROSE HOSPITAL,10/1/2008,9/30/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,128865,2.47,N
2009,106010987,WASHINGTON HOSPITAL - FREMONT,7/1/2008,6/30/2009,Alameda,Bay Area,District,Administrative Services Cost Centers,307277,3.98,N
2009,106013687,MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,0,0.00,N
2009,106014034,FREMONT HOSPITAL,1/1/2009,12/31/2009,Alameda,Bay Area,Investor,Administrative Services Cost Centers,44180,1.42,N
2009,106014050,VALLEYCARE MEDICAL CENTER,7/1/2008,6/30/2009,Alameda,Bay Area,Non-Profit,Administrative Services Cost Centers,154744,2.30,N
2009,106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,7/1/2008,6/30/2009,Alameda,Bay Area,Investor,Administrative Services Cost Centers,9912,1.45,N
