year,facility_number,facility_name,begin_date,end_date,county_name,region,type_of_control,hours_type,productive_hours,productive_hours_per_adjusted_patient_day,phapd_missing
2009,106010735,ALAMEDA HOSPITAL,7/1/2008,6/30/2009,Alameda,Bay Area,District,Aides & Orderlies,97205,1.79,N
2009,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,161345,0.95,N
2009,106010776,CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,94571,1.00,N
2009,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,14094,1.42,N
2009,106010805,EDEN MEDICAL CENTER,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,143285,1.64,N
2009,106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2008,6/30/2009,Alameda,Bay Area,City/County,Aides & Orderlies,289841,1.68,N
2009,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,221515,2.55,N
2009,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,150828,2.38,N
2009,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,1/1/2009,12/31/2009,Alameda,Bay Area,Investor,Aides & Orderlies,43588,2.22,N
2009,106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,230554,2.17,N
2009,106010967,ST. ROSE HOSPITAL,10/1/2008,9/30/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,101311,1.94,N
2009,106010987,WASHINGTON HOSPITAL - FREMONT,7/1/2008,6/30/2009,Alameda,Bay Area,District,Aides & Orderlies,99111,1.28,N
2009,106013687,MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL,1/1/2009,12/31/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,4014,0.56,N
2009,106014034,FREMONT HOSPITAL,1/1/2009,12/31/2009,Alameda,Bay Area,Investor,Aides & Orderlies,0,0.00,N
2009,106014050,VALLEYCARE MEDICAL CENTER,7/1/2008,6/30/2009,Alameda,Bay Area,Non-Profit,Aides & Orderlies,138917,2.07,N
2009,106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,7/1/2008,6/30/2009,Alameda,Bay Area,Investor,Aides & Orderlies,20571,3.01,N
2009,106014226,TELECARE WILLOW ROCK CENTER,7/1/2008,6/30/2009,Alameda,Bay Area,Investor,Aides & Orderlies,24255,7.31,N
2009,106034002,SUTTER AMADOR HOSPITAL,1/1/2009,12/31/2009,Amador,Central Sierra,Non-Profit,Aides & Orderlies,44011,2.64,N
2009,106040802,BIGGS-GRIDLEY MEMORIAL HOSPITAL,7/1/2008,6/30/2009,Butte,Northern Sacramento Valley,Non-Profit,Aides & Orderlies,49595,2.48,N
2009,106040875,FEATHER RIVER HOSPITAL,1/1/2009,12/31/2009,Butte,Northern Sacramento Valley,Non-Profit,Aides & Orderlies,106486,2.55,N
2009,106040937,OROVILLE HOSPITAL,12/1/2008,11/30/2009,Butte,Northern Sacramento Valley,Non-Profit,Aides & Orderlies,65256,1.17,N
2009,106040962,ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,7/1/2008,6/30/2009,Butte,Northern Sacramento Valley,Non-Profit,Aides & Orderlies,462045,4.52,N
2009,106050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,7/1/2008,6/30/2009,Calaveras,Central Sierra,Non-Profit,Aides & Orderlies,7948,0.57,N
2009,106060870,COLUSA REGIONAL MEDICAL CENTER,4/1/2008,3/31/2009,Colusa,Northern Sacramento Valley,Non-Profit,Aides & Orderlies,35723,3.43,N
2009,106070904,DOCTORS MEDICAL CENTER - SAN PABLO,1/1/2009,12/31/2009,Contra Costa,Bay Area,District,Aides & Orderlies,35683,0.77,N
2009,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,7/1/2008,6/30/2009,Contra Costa,Bay Area,City/County,Aides & Orderlies,191379,2.27,N
2009,106070934,SUTTER DELTA MEDICAL CENTER,1/1/2009,12/31/2009,Contra Costa,Bay Area,Non-Profit,Aides & Orderlies,46200,1.03,N
2009,106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,1/1/2009,12/31/2009,Contra Costa,Bay Area,Non-Profit,Aides & Orderlies,233782,2.01,N
2009,106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1/1/2009,12/31/2009,Contra Costa,Bay Area,Non-Profit,Aides & Orderlies,160901,2.41,N
2009,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,1/1/2009,12/31/2009,Contra Costa,Bay Area,Non-Profit,Aides & Orderlies,185205,2.83,N
2009,106074017,SAN RAMON REGIONAL MEDICAL CENTER,1/1/2009,12/31/2009,Contra Costa,Bay Area,Investor,Aides & Orderlies,56477,1.64,N
2009,106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,1/1/2009,12/31/2009,Contra Costa,Bay Area,Non-Profit,Aides & Orderlies,0,0.00,N
2009,106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,1/1/2009,12/31/2009,Contra Costa,Bay Area,Non-Profit,Aides & Orderlies,11195,0.38,N
2009,106084001,SUTTER COAST HOSPITAL,1/1/2009,12/31/2009,Del Norte,Northern California,Non-Profit,Aides & Orderlies,21651,0.95,N
2009,106090793,BARTON MEMORIAL HOSPITAL,1/1/2009,12/31/2009,El Dorado,Greater Sacramento,Non-Profit,Aides & Orderlies,120299,2.16,N
2009,106090933,MARSHALL MEDICAL CENTER,11/1/2008,10/31/2009,El Dorado,Greater Sacramento,Non-Profit,Aides & Orderlies,3559,0.07,N
2009,106100005,CLOVIS COMMUNITY MEDICAL CENTER,9/1/2008,8/31/2009,Fresno,San Joaquin Valley,Non-Profit,Aides & Orderlies,199490,3.39,N
2009,106100697,COALINGA REGIONAL MEDICAL CENTER,7/1/2008,6/30/2009,Fresno,San Joaquin Valley,District,Aides & Orderlies,118372,2.16,N
2009,106100717,COMMUNITY REGIONAL MEDICAL CENTER,9/1/2008,8/31/2009,Fresno,San Joaquin Valley,Non-Profit,Aides & Orderlies,1205853,3.90,N
2009,106100745,KINGSBURG MEDICAL HOSPITAL,7/1/2008,6/30/2009,Fresno,San Joaquin Valley,District,Aides & Orderlies,23581,2.01,N
2009,106100797,SIERRA KINGS DISTRICT HOSPITAL,7/1/2008,6/30/2009,Fresno,San Joaquin Valley,District,Aides & Orderlies,80962,5.47,N
2009,106100899,ST. AGNES MEDICAL CENTER,7/1/2008,6/30/2009,Fresno,San Joaquin Valley,Non-Profit,Aides & Orderlies,313451,1.88,N
2009,106104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,1/1/2009,12/31/2009,Fresno,San Joaquin Valley,Investor,Aides & Orderlies,20885,1.11,N
2009,106104047,FRESNO SURGICAL HOSPITAL,1/1/2009,12/31/2009,Fresno,San Joaquin Valley,Investor,Aides & Orderlies,33877,3.79,N
2009,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,1/1/2009,12/31/2009,Fresno,San Joaquin Valley,Non-Profit,Aides & Orderlies,93445,3.11,N
2009,106105029,FRESNO HEART & SURGICAL HOSPITAL,9/1/2008,8/31/2009,Fresno,San Joaquin Valley,Investor,Aides & Orderlies,6704,0.48,N
2009,106110889,GLENN MEDICAL CENTER,7/1/2008,6/30/2009,Glenn,Northern Sacramento Valley,Non-Profit,Aides & Orderlies,13814,2.09,N
2009,106121002,MAD RIVER COMMUNITY HOSPITAL,7/1/2008,6/30/2009,Humboldt,Northern California,Investor,Aides & Orderlies,31778,1.14,N
2009,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,7/1/2008,6/30/2009,Humboldt,Northern California,District,Aides & Orderlies,13266,1.22,N
2009,106121051,REDWOOD MEMORIAL HOSPITAL,7/1/2008,6/30/2009,Humboldt,Northern California,Non-Profit,Aides & Orderlies,30422,2.26,N
2009,106121080,ST. JOSEPH HOSPITAL - EUREKA,7/1/2008,6/30/2009,Humboldt,Northern California,Non-Profit,Aides & Orderlies,174622,3.27,N
